# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
shou ji shang 	收機上	c=1 d=1 t=3014
shou jia 	售價	c=1 d=1 t=20010
shou le 	受了	c=0 d=0.1 t=8191
shou li 	手裏	c=1 d=1 t=13079
shou lie 	狩獵	c=1 d=1 t=15280
shou ming 	受命	c=3 d=1.29676 t=15270
shou nao 	首腦	c=1 d=1 t=14163
shou pai 	手排	c=1 d=1 t=5825
shou qu 	收取	c=3 d=2.00705 t=11413
shou quan 	授權	c=1 d=0.471577 t=4008
shou quan na ge 	授權那個	c=1 d=1 t=4009
shou ru 	收入	c=7 d=2.07132 t=20502
shou ru shang 	收入上	c=1 d=1 t=18324
shou shi 	手勢	c=2 d=1.01522 t=6281
shou shi 	首飾	c=0 d=0.1 t=6430
shou tao 	手套	c=1 d=1 t=2952
shou wang zhe 	守望者	c=4 d=2.98506 t=16216
shou xi 	受洗	c=2 d=1.99005 t=15252
shou xian 	首先	c=11 d=1.61941 t=19024
shou xian yu 	受限於	c=1 d=1 t=4909
shou xin 	收信	c=2 d=1.99501 t=3781
shou yi 	收益	c=1 d=1 t=21071
shou zhi tou 	手指頭	c=1 d=1 t=14095
shu 	孰	c=2 d=1.99005 t=13384
shu 	數	c=16 d=0.24132 t=14095
shu 	書	c=13 d=1 t=21737
shu 	樹	c=2 d=1 t=15256
shu 	術	c=1 d=1 t=15847
shu bao 	書包	c=1 d=1 t=2928
shu biao 	鼠標	c=1 d=1 t=4815
shu chu 	輸出	c=1 d=1 t=17589
shu chu bian liang 	輸出變量	c=1 d=1 t=4577
shu fa 	書法	c=3 d=2.00443 t=19202
shu fa da jia 	書法大家	c=1 d=1 t=19099
shu fa jia 	書法家	c=2 d=1.43813 t=19106
shu fu 	舒服	c=2 d=1.00001 t=2905
shu fu duo le 	舒服多了	c=1 d=1 t=35
shu han 	蜀漢	c=5 d=1 t=19366
shu hua 	書畫	c=1 d=1 t=19171
shu ji 	書籍	c=2 d=1.88692 t=16005
shu ji 	書記	c=1 d=1 t=5292
shu jin 	蜀錦	c=1 d=1 t=13571
shu ju 	數據	c=17 d=1 t=21030
shu ju ku 	數據庫	c=1 d=1 t=4452
shu ju li 	書距離	c=1 d=1 t=9134
shu ju liang 	數據量	c=1 d=1 t=9135
shu lian 	熟練	c=2 d=1.93707 t=619
shu liang 	數量	c=2 d=1.33287 t=11326
shu liang he 	叔梁紇	c=1 d=1 t=15156
shu liao 	孰料	c=2 d=1.76721 t=13225
shu lie 	數列	c=1 d=1 t=16555
shu qin 	豎琴	c=3 d=2.97516 t=6970
shu ru 	輸入	c=6 d=2.90331 t=8143
shu ru fa 	輸入法	c=4 d=1 t=15635
shu xi 	熟悉	c=2 d=1.03707 t=14745
shu xia 	樹下	c=1 d=1 t=17120
shu xing 	屬性	c=1 d=1 t=17332
shu xu guan 	鼠鬚管	c=5 d=1.076 t=993
shu xue 	數學	c=3 d=1.06329 t=18910
shu yu 	屬於	c=2 d=1.45841 t=11360
shu yu 	術語	c=2 d=1.00001 t=11201
shu zi 	數字	c=3 d=1 t=17598
shu zu 	數組	c=9 d=1.00002 t=4878
shua 	刷	c=4 d=1.67368 t=5028
shua ya 	刷牙	c=1 d=1 t=2881
shuai ge 	帥哥	c=1 d=1 t=18907
shuai le 	摔了	c=1 d=1 t=4461
shuang 	爽	c=1 d=0.783861 t=5579
shuang fang 	雙方	c=3 d=1.00001 t=13381
shuang le 	爽了	c=0 d=0.1 t=43
shuang shou 	雙手	c=0 d=0.1 t=19660
shuang shou bing qi 	雙手兵器	c=1 d=1 t=19661
shui 	水	c=9 d=2.06198 t=15920
shui 	睡	c=1 d=1 t=10109
shui 	誰	c=6 d=1.00089 t=15718
shui dou 	誰都	c=0 d=0.1 t=3918
shui dou neng 	誰都能	c=1 d=1 t=3919
shui fu 	說服	c=1 d=1 t=12342
shui fu li 	說服力	c=1 d=1 t=16068
shui guo 	水果	c=2 d=1 t=11383
shui jiao 	睡覺	c=1 d=1 t=17991
shui lv 	稅率	c=2 d=1.00209 t=11263
shui ping 	水平	c=4 d=1.53506 t=20429
shui ping le 	水平樂	c=1 d=1 t=15199
shui shou 	稅收	c=1 d=1 t=11550
shui wu 	稅務	c=1 d=1 t=7011
shui ye 	誰也	c=0 d=0.1 t=8389
shui ye dang bu zhu 	誰也擋不住	c=1 d=1 t=8390
shui yi 	稅一	c=1 d=1 t=12379
shui zai 	睡在	c=1 d=1 t=18447
shui zhun 	水準	c=1 d=1 t=10990
shun bian 	順便	c=1 d=1 t=5209
shun cha 	順差	c=2 d=1.00061 t=11461
shun li 	順利	c=2 d=1.89583 t=282
shun shou 	順手	c=1 d=1 t=19671
shun xi 	吮吸	c=1 d=1 t=259
shun xu 	順序	c=1 d=1 t=12085
shuo 	說	c=58 d=1.29794 t=21837
shuo bu ding 	說不定	c=1 d=1 t=1761
shuo bu hao 	說不好	c=1 d=1 t=17465
shuo fa 	說法	c=5 d=2.93635 t=22565
shuo fu li 	說福利	c=2 d=1.042 t=16701
shuo hua 	說話	c=3 d=1 t=17434
shuo le 	說了	c=0 d=0.1 t=8192
shuo le ba 	說了把	c=1 d=1 t=8193
shuo ming 	說明	c=2 d=1 t=20118
shuo ming yi qie 	說明一切	c=2 d=1.16696 t=8275
shuo qi 	說起	c=1 d=1 t=12790
shuo shen me 	說什麼	c=1 d=1 t=4574
shuo shi 	說是	c=1 d=1 t=1726
shuo shuo 	說說	c=2 d=1 t=19332
shuo wen jie zi 	說文解字	c=1 d=1 t=18696
shuo yi xia 	說以下	c=1 d=1 t=16523
shuo zhe 	說着	c=2 d=1.99501 t=2210
si 	似	c=1 d=1 t=15908
si 	四	c=8 d=1 t=17457
si 	思	c=1 d=1 t=11753
si 	死	c=3 d=1 t=6768
si dian ban 	四點半	c=1 d=1 t=12212
si ge zi 	四個字	c=1 d=1 t=18598
si hou 	死後	c=1 d=1 t=14217
si hu 	似乎	c=15 d=1.0034 t=19061
si huo 	死活	c=2 d=1 t=4425
si jie 	死結	c=1 d=1 t=4064
si kao 	思考	c=3 d=1 t=8626
si lu 	思路	c=3 d=2.55511 t=1239
si ma 	司馬	c=2 d=1 t=13080
si ma zhao 	司馬昭	c=1 d=1 t=12936
si nian 	四年	c=1 d=1.09003 t=8554
si nian le 	四年了	c=1 d=1 t=8534
si qian 	私錢	c=1 d=1 t=9491
si ren 	私人	c=2 d=1.92546 t=11595
si ren xin xi 	私人信息	c=1 d=1 t=11164
si sui 	四歲	c=0 d=0.1 t=19466
si tan 	斯坦	c=2 d=1.35523 t=4152
si tan fu 	斯坦福	c=1 d=1 t=3461
si wei 	四位	c=1 d=1 t=954
si wei shu 	四位數	c=1 d=1 t=4380
si xiang 	思想	c=12 d=1.02223 t=16861
si you 	私有	c=1 d=1 t=6777
si you hua 	私有化	c=1 d=1 t=13256
song 	宋	c=6 d=2.24141 t=16305
song 	送	c=3 d=1.00001 t=2761
song dai 	宋代	c=3 d=2.07761 t=18778
song gei 	送給	c=1 d=1 t=13200
song ren ting wen 	聳人聽聞	c=1 d=1 t=14207
song wang 	宋王	c=1 d=1 t=16302
song wu di 	宋武帝	c=1 d=1 t=13056
song xiang gong 	宋襄公	c=6 d=4.0807 t=14886
song xing 	宋星	c=1 d=1 t=13738
sou gou 	搜狗	c=1 d=1 t=16
sou hu 	搜狐	c=1 d=1 t=30
sou ji 	蒐集	c=2 d=1.00347 t=8360
sou sou 	搜搜	c=1 d=1 t=5026
sou suo 	搜索	c=8 d=1.00009 t=19068
sou suo jie guo 	搜索結果	c=1 d=1 t=19073
sou suo yin qing 	搜索引擎	c=0 d=0.1 t=19066
sou suo yin qing shang 	搜索引擎上	c=1 d=1 t=19067
sou you 	搜遊	c=1 d=1 t=1042
su 	俗	c=1 d=1 t=8478
su 	訴	c=1 d=1 t=8477
su 	速	c=1 d=1 t=8479
su bei 	蘇北	c=0 d=0.1 t=6257
su bei li mian er 	蘇北裏面兒	c=1 d=1 t=6258
su cai 	素材	c=1 d=1 t=17694
su dong 	速凍	c=5 d=1 t=16191
su du 	速度	c=5 d=1.2466 t=12106
su liao 	塑料	c=1 d=1 t=2219
su ming 	宿命	c=2 d=1.03288 t=13415
su she 	宿舍	c=1 d=1 t=2838
su wang 	素王	c=7 d=1.57987 t=16116
su you peng 	蘇有朋	c=2 d=1.9802 t=16174
su zhi 	素質	c=2 d=1.3396 t=6003
suan 	算	c=8 d=1.00068 t=16323
suan chu 	算出	c=1 d=1 t=10700
suan chu lai 	算出來	c=3 d=1.00023 t=17584
suan chu lai le 	算出來了	c=1 d=1 t=16370
suan fa 	算法	c=19 d=1.00472 t=18213
suan fa ke 	算法課	c=1 d=1 t=1858
suan fa si xiang 	算法思想	c=1 d=1 t=9125
suan ge 	算個	c=1 d=1 t=12204
suan le 	算了	c=1 d=1 t=9146
suan shang 	算上	c=1 d=1 t=7136
suan shen me 	算什麼	c=1 d=1 t=14855
suan shi 	算是	c=1 d=1 t=14204
sui 	歲	c=0 d=0.1 t=11770
sui 	遂	c=1 d=1 t=19480
sui bai you rong 	雖敗猶榮	c=1 d=1 t=14812
sui bian 	隨便	c=1 d=1 t=4393
sui ji 	隨機	c=2 d=1 t=15579
sui ran 	雖然	c=5 d=1 t=18480
sui ran hai you 	雖然還有	c=1 d=1 t=9114
sui ran shi 	雖然是	c=1 d=1 t=7788
sui ran yi jing 	雖然已經	c=1 d=1 t=7251
sui shi 	隨時	c=1 d=1 t=7819
sui wen di 	隋文帝	c=2 d=1.00101 t=13871
sui zhe 	隨着	c=3 d=1.0025 t=22207
sun hai dao 	損害到	c=0 d=0.1 t=10755
sun hai dao ben fang li yi 	損害到奔放利益	c=1 d=1 t=10756
sun quan 	孫權	c=3 d=1.9802 t=17061
suo 	所	c=14 d=1.0016 t=22273
suo 	鎖	c=1 d=1 t=18050
suo ding 	鎖定	c=0 d=0.1 t=18600
suo ding le 	鎖定了	c=1 d=1 t=18601
suo duan 	縮短	c=1 d=1 t=7732
suo jian 	縮減	c=2 d=1.85214 t=4797
suo jin 	縮進	c=1 d=1 t=7603
suo luo si 	索羅斯	c=1 d=1 t=9484
suo shuo 	所說	c=0 d=0.1 t=1885
suo sui 	瑣碎	c=1 d=1 t=18171
suo wei 	所謂	c=0 d=0.1 t=9784
suo xiao 	縮小	c=2 d=1 t=15608
suo yi 	所以	c=44 d=1.09884 t=22636
suo yin 	索引	c=1 d=1 t=10124
suo you 	所有	c=31 d=1 t=21667
suo you dian 	所有點	c=2 d=1.91851 t=9018
suo you quan 	所有權	c=3 d=1.00332 t=10853
suo zai 	所在	c=1 d=1 t=22610
suo zuo 	所做	c=1 d=1 t=22612
ta 	他	c=27 d=3.56882 t=16618
ta 	她	c=10 d=1.01166 t=13649
ta 	它	c=11 d=1.83111 t=20524
ta 	鉈	c=2 d=1.956 t=18762
ta he 	他和	c=1 d=1 t=17383
ta lai le 	他來了	c=2 d=1 t=16210
ta men 	他們	c=10 d=1 t=21915
ta men 	它們	c=3 d=1 t=21813
ta ren 	他人	c=0 d=0.1 t=8723
ta ren zhi qi 	他人之氣	c=1 d=1 t=8724
tai 	台	c=2 d=1.43823 t=8603
tai 	太	c=8 d=1 t=22633
tai 	態	c=1 d=1 t=8814
tai 	泰	c=1 d=1 t=6275
tai chang 	太長	c=1 d=1 t=7471
tai da 	太大	c=2 d=1 t=16690
tai du 	態度	c=3 d=2.7871 t=14989
tai duo 	太多	c=2 d=0.1 t=17801
tai duo le 	太多了	c=1 d=1 t=526
tai er 	胎兒	c=1 d=1 t=7194
tai fu 	太傅	c=1 d=1 t=13271
tai guo fen 	太過分	c=0 d=0.1 t=9400
tai guo fen le 	太過分了	c=1 d=1 t=9401
tai hou 	太后	c=1 d=1 t=6752
tai ji 	太極	c=3 d=1.99501 t=8458
tai jian dan 	太簡單	c=2 d=1 t=16799
tai jie 	臺階	c=0 d=0.1 t=6273
tai jie shi pin 	臺階視頻	c=1 d=1 t=6274
tai ma fan 	太麻煩	c=1 d=1 t=5490
tai mang 	太忙	c=1 d=1 t=17961
tai ping tian guo 	太平天國	c=0 d=0.1 t=14047
tai ping tian guo qi yi 	太平天國起義	c=1 d=1 t=14048
tai rong 	太容	c=0 d=0.1 t=3988
tai rong le 	太容了	c=1 d=1 t=3989
tai shi ji 	臺式機	c=2 d=1.88692 t=7146
tai shuang le 	太爽了	c=1 d=1 t=44
tai wu di 	太武帝	c=2 d=1.9802 t=13761
tai yang 	太陽	c=3 d=2.96531 t=22584
tai za 	太雜	c=1 d=1 t=3852
tai zi 	太子	c=0 d=0.1 t=12694
tai zi fei 	太子妃	c=1 d=1 t=17529
tai zong 	太宗	c=7 d=4.99335 t=13601
tan an 	探案	c=1 d=1 t=16769
tan bo 	攤薄	c=1 d=1 t=11432
tan hua 	曇花	c=1 d=1 t=12719
tan jiu 	探究	c=2 d=1 t=21277
tan lun 	探綸	c=1 d=1 t=20454
tan tao 	探討	c=2 d=1.11192 t=20885
tan wei guan zhi 	歎爲觀止	c=1 d=1 t=11963
tan xing 	彈性	c=1 d=1 t=6934
tang 	唐	c=1 d=1 t=14319
tang 	糖	c=1 d=1 t=3004
tang chao 	唐朝	c=3 d=1.60139 t=15676
tang chao yi hou 	唐朝以後	c=1 d=1 t=15410
tang chao zhi hou 	唐朝之後	c=3 d=2.03357 t=15853
tang guo 	糖果	c=1 d=1 t=2900
tang ren jie 	唐人街	c=1 d=1 t=16768
tang shao 	湯勺	c=1 d=1 t=2927
tang shi 	唐詩	c=1 d=1 t=2826
tang shi er 	唐氏兒	c=2 d=1.00069 t=2554
tang song 	唐宋	c=1 d=1 t=15420
tang tai zong 	唐太宗	c=1 d=1 t=13869
tang tang 	堂堂	c=1 d=1 t=3868
tang zi 	堂子	c=1 d=0.453455 t=12472
tao 	濤	c=1 d=1 t=14702
tao 	逃	c=1 d=1 t=7557
tao can 	套餐	c=1 d=1 t=11834
tao lun 	討論	c=6 d=2.29036 t=14342
tao ren yan 	討人厭	c=0 d=0.1 t=3167
tao ren yan shi 	討人厭是	c=1 d=1 t=3168
tao yan 	討厭	c=1 d=1 t=2986
tao yi 	逃逸	c=1 d=1 t=21736
te 	特	c=1 d=1 t=183
te bie 	特別	c=5 d=0.1 t=17316
te bie kun nan 	特別困難	c=1 d=1 t=17317
te bie liu chang 	特別流暢	c=1 d=1 t=28
te bie shuang 	特別爽	c=1 d=1 t=5580
te dian 	特點	c=1 d=1 t=18092
te ding 	特定	c=2 d=1 t=15603
te ding huan jing 	特定環境	c=1 d=1 t=8621
te jia 	特價	c=1 d=1 t=5618
te se 	特色	c=4 d=1.45096 t=8510
te xing 	特性	c=2 d=1.91851 t=22294
te xing tai 	特性太	c=1 d=1 t=6259
te yi 	特意	c=1 d=1 t=15488
te zheng 	特徵	c=5 d=2.67056 t=22217
teng nuo 	騰挪	c=1 d=1 t=4070
ti 	媞	c=3 d=2.97025 t=12661
ti 	提	c=1 d=1 t=3380
ti 	題	c=2 d=1.93707 t=5757
ti chang 	提倡	c=1 d=1 t=3313
ti chu 	提出	c=1 d=1 t=14828
ti dao 	提到	c=1 d=1 t=15451
ti gao 	提高	c=9 d=1.00069 t=22033
ti gao bu liao 	提高不了	c=1 d=1 t=18397
ti gao hen duo 	提高很多	c=1 d=1 t=17526
ti gao le 	提高了	c=3 d=1 t=22449
ti gong 	提供	c=8 d=0.1 t=22310
ti gong le 	提供了	c=1 d=1 t=22311
ti huan 	替換	c=0 d=0.1 t=5055
ti huan cheng 	替換成	c=1 d=1 t=5056
ti hui 	體會	c=1 d=1 t=14359
ti jiao 	提交	c=1 d=1 t=7374
ti jiao guo 	提交過	c=1 d=1 t=3139
ti ku 	題庫	c=0 d=0.1 t=2561
ti mu 	題目	c=6 d=1 t=17104
ti nei 	體內	c=1 d=1 t=12231
ti ni 	替你	c=1 d=1 t=1625
ti qu 	提取	c=1 d=1 t=6254
ti ruo 	體弱	c=1 d=1 t=10712
ti sheng 	提升	c=3 d=1.05756 t=22499
ti shi 	提示	c=1 d=1 t=3225
ti xi 	體系	c=0 d=0.1 t=14069
ti xian 	體現	c=2 d=1 t=20267
ti xian chu 	體現出	c=1 d=1.09851 t=12043
ti xian chu lai 	體現出來	c=1 d=1 t=14437
ti xian chu le 	體現出了	c=1 d=1 t=12041
ti xian le 	體現了	c=1 d=1 t=14463
ti xian zai 	體現在	c=2 d=1 t=21646
ti xing 	提醒	c=1 d=1 t=17156
ti yan 	體驗	c=1 d=1 t=2421
ti yi 	提議	c=1 d=1 t=8373
ti yu ke 	體育課	c=0 d=0.1 t=3694
ti zhi 	體制	c=1 d=1 t=12227
ti zhi 	體質	c=3 d=1.80977 t=12522
tian 	天	c=1 d=1 t=16193
tian 	田	c=1 d=1 t=16306
tian bu 	填補	c=0 d=0.1 t=20901
tian bu le 	填補了	c=1 d=1 t=20902
tian jia 	添加	c=1 d=0.197531 t=16931
tian na 	天哪	c=1 d=1 t=824
tian ping 	天平	c=1 d=1 t=21487
tian shang 	天上	c=0 d=0.1 t=15230
tian shang di xia 	天上地下	c=2 d=1.01116 t=16130
tian tang 	天堂	c=1 d=1 t=15551
tian tian 	天天	c=3 d=1 t=17888
tian xia 	天下	c=5 d=1.00015 t=15330
tian ya 	天涯	c=1 d=1 t=13593
tian zong 	天縱	c=0 d=0.1 t=13487
tiao 	跳	c=1 d=1 t=5802
tiao chu lai 	跳出來	c=0 d=0.1 t=18853
tiao chu lai shuo 	跳出來說	c=1 d=1 t=18854
tiao jian 	條件	c=3 d=1 t=21370
tiao jian ru he 	條件如何	c=1 d=1 t=12306
tiao jiao 	調教	c=1 d=1 t=7235
tiao jie 	調節	c=4 d=3.37039 t=21855
tiao shi 	調試	c=4 d=0.156983 t=17146
tiao yue 	條約	c=2 d=1.99005 t=9992
tiao zhuan 	跳轉	c=6 d=4.45382 t=17780
tiao zhuan dao 	跳轉到	c=1 d=1 t=17754
tiao zhun 	調準	c=1 d=1 t=17739
tie 	貼	c=3 d=1.00013 t=17943
tie 	鐵	c=1 d=1 t=16233
tie ban ding ding 	鐵板釘釘	c=1 d=1 t=18592
tie gei 	鐵給	c=1 d=1 t=16613
tie gei ta 	貼給他	c=1 d=1 t=16614
tie mao 	鐵錨	c=0 d=0.1 t=16231
tie mao zi 	鐵錨子	c=1 d=1 t=16232
ting 	挺	c=6 d=1 t=19647
ting 	聽	c=3 d=1 t=12512
ting guo 	挺過	c=1 d=1 t=13050
ting hao 	挺好	c=2 d=1 t=12415
ting hua 	聽話	c=1 d=1 t=7238
ting jiang 	聽講	c=1 d=1 t=14945
ting le 	聽了	c=0 d=0.1 t=6498
ting li 	聽力	c=3 d=2.5078 t=8549
ting qi lai 	聽起來	c=1 d=1 t=14008
ting you 	挺有	c=0 d=0.1 t=8708
ting you yi si 	挺有意思	c=1 d=1 t=8709
tong 	同	c=1 d=1 t=5712
tong 	通	c=1 d=1 t=12234
tong 	銅	c=0 d=0.1 t=11749
tong bu 	同步	c=3 d=1 t=8089
tong chang 	通暢	c=2 d=1 t=11672
tong chou gui hua 	統籌規劃	c=1 d=1 t=9544
tong chuang 	同牀	c=1 d=1 t=11791
tong guo 	通過	c=25 d=1.36663 t=22655
tong hong 	通紅	c=0 d=0.1 t=18450
tong huo 	同夥	c=1 d=1 t=9996
tong huo 	通貨	c=3 d=1.99555 t=11502
tong huo jin suo 	通貨緊縮	c=1 d=1 t=9995
tong huo peng zhang 	通貨膨脹	c=3 d=1.00003 t=13560
tong ji 	統計	c=2 d=1 t=11190
tong ji 	通緝	c=3 d=1 t=11189
tong ji xue 	統計學	c=1 d=1 t=6981
tong jia zi 	通假字	c=1 d=1 t=9515
tong ku 	痛苦	c=1 d=1 t=7740
tong le 	同樂	c=1 d=1 t=7249
tong ming 	同名	c=1 d=1 t=2244
tong nian 	童年	c=1 d=1 t=17275
tong qian 	銅錢	c=2 d=1.04097 t=12581
tong que tai 	銅雀臺	c=3 d=2.95556 t=16175
tong shi 	同事	c=10 d=1.00089 t=15481
tong shi 	同時	c=8 d=1.42471 t=22240
tong shi dai 	同時代	c=4 d=2.48759 t=19155
tong shun 	通順	c=1 d=1 t=19648
tong su 	通俗	c=1 d=1 t=8240
tong xin 	通信	c=1 d=1 t=5274
tong xue 	同學	c=2 d=1 t=7139
tong xun 	通訊	c=1 d=1 t=5269
tong yang 	同樣	c=7 d=2.46054 t=21013
tong yi 	同意	c=25 d=4.9689 t=22694
tong yi 	統一	c=8 d=1 t=22295
tong yi ge 	同一個	c=2 d=1 t=19257
tong yi tao ti ku 	同一套題庫	c=1 d=1 t=2562
tong yi zhong 	同一種	c=1 d=1 t=11279
tong yong 	通用	c=1 d=1 t=4222
tong zhi 	統治	c=1 d=1 t=13029
tong zhi 	通知	c=3 d=1.01046 t=17921
tou 	投	c=1 d=1 t=10780
tou 	頭	c=2 d=1 t=21761
tou bao 	投保	c=1 d=1 t=10709
tou cun 	頭寸	c=1 d=1 t=11642
tou ji 	投機	c=1 d=1 t=11741
tou lan 	偷懶	c=2 d=1 t=18191
tou le 	投了	c=1 d=1 t=7123
tou lu 	透露	c=1 d=1 t=19431
tou ming 	透明	c=1 d=1 t=18080
tou piao 	投票	c=4 d=1 t=20398
tou ru 	投入	c=4 d=1.97045 t=9577
tou ru le 	投入了	c=1 d=1 t=201
tou shang 	頭上	c=0 d=0.1 t=19355
tou tiao 	頭條	c=0 d=0.1 t=17258
tou zi 	投資	c=4 d=1 t=20711
tou zi gong ju 	投資工具	c=1 d=1 t=11658
tu 	吐	c=2 d=1 t=18549
tu 	圖	c=12 d=1.08479 t=18893
tu 	塗	c=1 d=1 t=14703
tu 	突	c=1 d=1 t=17858
tu ba 	吐吧	c=1 d=1 t=12171
tu di 	土地	c=6 d=4.11444 t=9605
tu di jian bing 	土地兼併	c=1 d=1 t=9541
tu jia zu 	土家族	c=1 d=1 t=427
tu jie 	圖解	c=1 d=1 t=9826
tu jing 	途徑	c=1 d=1 t=5425
tu lu zi 	圖盧茲	c=1 d=1 t=8664
tu lun 	圖論	c=2 d=1 t=9260
tu pian 	圖片	c=5 d=1 t=19018
tu ran 	突然	c=1 d=1 t=5357
tu rang 	土壤	c=3 d=1 t=20725
tu sha 	屠殺	c=1 d=1 t=13817
tu shu 	圖書	c=2 d=1 t=11865
tu shu guan 	圖書館	c=1 d=1 t=8384
tu xing jie mian 	圖形界面	c=1 d=1 t=4709
tu xue 	吐血	c=1 d=1 t=1235
tu zhang 	圖章	c=1 d=1 t=423
tu zhu 	土著	c=1 d=1 t=8665
tui 	退	c=1 d=1 t=13117
tui che 	推車	c=0 d=0.1 t=16311
tui chu 	推出	c=1 d=1 t=13712
tui chu 	退出	c=1 d=1 t=17577
tui chu shi chang 	退出市場	c=1 d=1 t=10722
tui dao 	推到	c=1 d=1 t=4116
tui dong 	推動	c=1 d=1 t=21201
tui fan 	推翻	c=2 d=1.83527 t=22569
tui hua 	蛻化	c=1 d=1 t=15768
tui jian 	推薦	c=12 d=0.1 t=22599
tui kuan 	退款	c=2 d=1.95123 t=3560
tui le 	退了	c=1 d=1 t=3554
tui qiao 	推敲	c=1 d=1 t=19204
tui song 	推送	c=1 d=1 t=8260
tui xiang 	推向	c=1 d=1 t=12853
tui zhi 	推知	c=1 d=1 t=18991
tun er 	屯兒	c=1 d=1 t=6971
tuo ba tao 	拓跋燾	c=1 d=1 t=13762
tuo feng 	駝峯	c=1 d=1 t=5530
tuo guan 	託管	c=1 d=1 t=3663
tuo ying er chu 	脫穎而出	c=1 d=1 t=22220
wa 	哇	c=0 d=0.1 t=6971
wa 	挖	c=2 d=1.9802 t=7098
wa chu lai 	挖出來	c=1 d=1 t=18722
wa wa 	娃娃	c=0 d=0.1 t=6971
wa wa wa 	哇娃娃	c=1 d=1 t=6972
wai 	外	c=2 d=1 t=16762
wai bu 	外部	c=0 d=0.1 t=10034
wai bu xuan ze 	外部選擇	c=1 d=1 t=10035
wai guo 	外國	c=1 d=1 t=11481
wai jia 	外加	c=1 d=1 t=15889
wai jie 	外接	c=1 d=1 t=5355
wai ke 	外殼	c=1 d=1 t=5448
wai mao 	外貌	c=0 d=0.1 t=15233
wai mao te zheng 	外貌特徵	c=1 d=1 t=15234
wai mian 	外面	c=1 d=1 t=2930
wai tao 	外套	c=1 d=1 t=2840
wai zhai 	外債	c=1 d=1 t=9959
wan 	完	c=1 d=1.00033 t=5865
wan 	玩	c=5 d=1 t=16198
wan 	萬	c=2 d=1 t=7061
wan bao 	完爆	c=2 d=1 t=5139
wan bu cheng 	完不成	c=1 d=1 t=4721
wan cheng 	完成	c=5 d=2.17585 t=7571
wan cheng hou 	完成後	c=1 d=1 t=17225
wan cheng le 	完成了	c=1 d=1 t=982
wan fang 	萬方	c=1 d=1 t=19722
wan ju 	玩具	c=1 d=1 t=6415
wan lu 	彎路	c=1 d=1 t=19314
wan mei 	完美	c=1 d=1 t=10835
wan mei zhi dao 	完美之道	c=1 d=1 t=3660
wan ming 	萬名	c=1 d=1 t=6433
wan nian 	晚年	c=1 d=1 t=12678
wan quan 	完全	c=7 d=1 t=21755
wan quan bu tong 	完全不同	c=1 d=1 t=5225
wan quan jia ge 	完全價格	c=1 d=1 t=11298
wan quan jing zheng 	完全競爭	c=1 d=1 t=10011
wan quan xiang tong 	完全相同	c=1 d=1 t=15594
wan ren 	萬人	c=0 d=0.1 t=1767
wan shan 	完善	c=3 d=1 t=20306
wan shan cheng du 	完善程度	c=1 d=1 t=7503
wan shang 	晚上	c=3 d=0.100009 t=20304
wan shi 	萬世	c=3 d=2.04703 t=15477
wan shi ru yi 	萬事如意	c=1 d=1 t=261
wan shi shi biao 	萬世師表	c=1 d=1 t=15161
wan wan quan quan 	完完全全	c=1 d=1 t=15395
wan wu 	萬物	c=1 d=1 t=4963
wan yi 	玩意	c=3 d=1.00004 t=6592
wan yu 	晚於	c=1 d=1 t=15998
wan zheng 	完整	c=2 d=1.13134 t=10167
wan zhuan 	玩轉	c=1 d=1 t=13584
wang 	汪	c=1 d=1.00003 t=1861
wang 	王	c=14 d=1.67505 t=16235
wang 	網	c=5 d=1.4351 t=17424
wang chao 	王朝	c=2 d=0.1 t=19716
wang ji 	忘記	c=0 d=0.1 t=2870
wang ji 	王畿	c=1 d=1 t=408
wang ji le 	忘記了	c=1 d=1 t=2871
wang lai 	往來	c=1 d=1 t=19875
wang lao shi 	汪老師	c=1 d=1 t=217
wang luo 	網絡	c=1 d=1 t=4366
wang mang 	王莽	c=6 d=3.75888 t=13471
wang pan 	網盤	c=3 d=1.00093 t=4329
wang quan 	王權	c=1 d=1 t=13963
wang shang 	網上	c=1 d=1 t=7250
wang shi 	往事	c=2 d=1.0881 t=6758
wang tong 	汪通	c=3 d=1.99501 t=11852
wang wang 	往往	c=4 d=1 t=21546
wang wang hai you 	往往還有	c=1 d=1 t=14081
wang xian 	網線	c=1 d=1 t=10522
wang ye 	王爺	c=1 d=1 t=13389
wang ye 	網頁	c=6 d=1.89137 t=18234
wang yi 	網易	c=2 d=1.96561 t=3337
wang zhan 	網站	c=4 d=1.608 t=6145
wang zhan li mian 	網站裏面	c=1 d=1 t=6146
wei 	位	c=11 d=1.00043 t=20518
wei 	尾	c=1 d=1 t=1693
wei 	微	c=1 d=1 t=2013
wei 	未	c=3 d=1 t=13175
wei 	爲	c=51 d=1.63769 t=22396
wei 	緯	c=1 d=1 t=15925
wei 	衛	c=2 d=1 t=19109
wei bi 	未必	c=4 d=1.18392 t=18888
wei bo 	微博	c=1 d=1 t=17919
wei bo 	微波	c=3 d=2.83244 t=17918
wei chi 	爲恥	c=1 d=1 t=5605
